#nrNodes nrCollisions nrTransmissions OverallEnergy
1 0 2 0.452001792
2 0 19 4.294017024
3 0 23 5.198020608
4 0 33 7.458029568
5 2 54 12.204048384
6 2 49 11.074043904
7 0 60 13.56005376
8 2 71 16.046063616
9 4 84 18.984075264
10 0 105 23.73009408
20 16 168 37.968150528
30 20 245 55.37021952
40 47 354 80.004317184
50 39 410 92.66036736
60 112 530 119.78047488
70 121 600 135.6005376
80 185 728 164.528652288
90 162 792 178.992709632
100 209 784 177.184702464
110 339 956 216.056856576
120 343 1016 229.616910336
130 429 1151 260.127031296
140 419 1136 256.737017856
150 484 1258 284.309127168
160 550 1384 312.785240064
170 673 1455 328.83130368
180 719 1564 353.465401344
190 763 1595 360.47142912
200 825 1704 385.105526784
210 941 1825 412.4516352
220 1045 1957 442.283753472
230 1092 2021 456.747810816
240 1173 2095 473.47187712
250 1233 2149 485.675925504
260 1334 2252 508.954017792
270 1337 2277 514.604040192
280 1476 2447 553.024192512
290 1676 2602 588.054331392
300 1668 2633 595.060359168
350 2038 2940 664.44263424
400 2676 3524 796.427157504
450 3020 3907 882.985500672
500 3550 4326 977.679876096
550 4007 4745 1072.37425152
600 4706 5337 1206.16678195
650 5000 5600 1265.6050176
700 5491 6036 1364.14140826
800 6349 6789 1534.32008294
900 7473 7824 1768.2310103
1000 8381 8658 1956.71575757
